Stock-ID,Timestamp,actual stock price at that timestamp,mean of 30 data points,actual stock price – mean,% deviation over and above the threshold
GSK,01-11-2023,1786.46,1887.6483333333333,1806.7683018867924,1.0118833333333328
GSK,02-11-2023,1793.60,1887.6483333333333,1806.7683018867924,0.940483333333334
GSK,03-11-2023,1791.81,1887.6483333333333,1806.7683018867924,0.9583833333333337
GSK,04-11-2023,1802.56,1887.6483333333333,1806.7683018867924,0.8508833333333337
GSK,05-11-2023,1806.16,1887.6483333333333,1806.7683018867924,0.8148833333333323
GSK,06-11-2023,1820.61,1887.6483333333333,1806.7683018867924,0.6703833333333341
GSK,07-11-2023,1844.28,1887.6483333333333,1806.7683018867924,0.4336833333333334
GSK,08-11-2023,1862.72,1887.6483333333333,1806.7683018867924,0.24928333333333286
GSK,09-11-2023,1864.59,1887.6483333333333,1806.7683018867924,0.23058333333333395
GSK,10-11-2023,1875.77,1887.6483333333333,1806.7683018867924,0.1187833333333333
GSK,11-11-2023,1858.89,1887.6483333333333,1806.7683018867924,0.28758333333333214
GSK,12-11-2023,1877.48,1887.6483333333333,1806.7683018867924,0.10168333333333295
GSK,13-11-2023,1871.85,1887.6483333333333,1806.7683018867924,0.15798333333333403
GSK,14-11-2023,1869.98,1887.6483333333333,1806.7683018867924,0.17668333333333294
GSK,15-11-2023,1881.20,1887.6483333333333,1806.7683018867924,0.06448333333333267
GSK,17-11-2023,1907.58,1887.6483333333333,1806.7683018867924,0.19931666666666614
GSK,18-11-2023,1898.04,1887.6483333333333,1806.7683018867924,0.10391666666666652
GSK,19-11-2023,1901.84,1887.6483333333333,1806.7683018867924,0.14191666666666605
GSK,20-11-2023,1918.95,1887.6483333333333,1806.7683018867924,0.31301666666666733
GSK,21-11-2023,1926.63,1887.6483333333333,1806.7683018867924,0.389816666666668
GSK,22-11-2023,1922.78,1887.6483333333333,1806.7683018867924,0.3513166666666666
GSK,23-11-2023,1926.62,1887.6483333333333,1806.7683018867924,0.38971666666666577
GSK,24-11-2023,1936.25,1887.6483333333333,1806.7683018867924,0.4860166666666669
GSK,25-11-2023,1957.55,1887.6483333333333,1806.7683018867924,0.6990166666666664
GSK,26-11-2023,1965.38,1887.6483333333333,1806.7683018867924,0.777316666666668
GSK,27-11-2023,1951.63,1887.6483333333333,1806.7683018867924,0.6398166666666679
GSK,28-11-2023,1967.24,1887.6483333333333,1806.7683018867924,0.7959166666666669
GSK,29-11-2023,1982.98,1887.6483333333333,1806.7683018867924,0.953316666666667
GSK,30-11-2023,1973.06,1887.6483333333333,1806.7683018867924,0.8541166666666663
