Stock-ID,Timestamp,actual stock price at that timestamp,mean of 30 data points,actual stock price – mean,% deviation over and above the threshold
ASH,20-09-2023,99.83,104.863,107.96518867924523,0.050330000000000014
ASH,21-09-2023,100.23,104.863,107.96518867924523,0.046329999999999955
ASH,22-09-2023,100.83,104.863,107.96518867924523,0.04033000000000001
ASH,23-09-2023,100.53,104.863,107.96518867924523,0.04332999999999999
ASH,24-09-2023,101.24,104.863,107.96518867924523,0.03623000000000005
ASH,25-09-2023,102.25,104.863,107.96518867924523,0.026129999999999997
ASH,26-09-2023,102.96,104.863,107.96518867924523,0.019030000000000057
ASH,27-09-2023,102.65,104.863,107.96518867924523,0.022129999999999938
ASH,28-09-2023,103.27,104.863,107.96518867924523,0.015930000000000034
ASH,29-09-2023,103.27,104.863,107.96518867924523,0.015930000000000034
ASH,30-09-2023,104.41,104.863,107.96518867924523,0.00453000000000003
ASH,04-10-2023,106.50,104.863,107.96518867924523,0.016370000000000006
ASH,05-10-2023,105.76,104.863,107.96518867924523,0.008970000000000056
ASH,06-10-2023,105.34,104.863,107.96518867924523,0.004770000000000039
ASH,07-10-2023,106.28,104.863,107.96518867924523,0.014170000000000016
ASH,08-10-2023,106.18,104.863,107.96518867924523,0.013170000000000072
ASH,09-10-2023,106.92,104.863,107.96518867924523,0.020570000000000022
ASH,10-10-2023,107.67,104.863,107.96518867924523,0.028070000000000022
ASH,11-10-2023,107.13,104.863,107.96518867924523,0.022669999999999958
ASH,12-10-2023,106.49,104.863,107.96518867924523,0.016269999999999955
ASH,13-10-2023,107.45,104.863,107.96518867924523,0.025870000000000032
ASH,14-10-2023,107.45,104.863,107.96518867924523,0.025870000000000032
ASH,15-10-2023,106.91,104.863,107.96518867924523,0.02046999999999997
ASH,16-10-2023,107.34,104.863,107.96518867924523,0.02477000000000004
ASH,17-10-2023,107.12,104.863,107.96518867924523,0.02257000000000005
ASH,18-10-2023,107.98,104.863,107.96518867924523,0.031170000000000045
ASH,19-10-2023,107.22,104.863,107.96518867924523,0.023569999999999994
